Input_Size,Time_Taken
12911,636842000
12921,621032000
12931,641688000
12941,613789000
12951,647639000
12961,629252000
12971,635750000
12981,639754000
12991,646356000
13001,626597000
13011,637757000
13021,654185000
13031,634486000
13041,654426000
13051,647475000
13061,645928000
13071,653437000
13081,639711000
13091,651151000
13101,639830000
13111,637668000
13121,652059000
13131,660459000
13141,642728000
13151,653527000
13161,654722000
13171,653673000
13181,672017000
13191,648879000
13201,685163000
13211,653496000
13221,660372000
13231,663748000
13241,652288000
13251,675044000
13261,662047000
13271,670615000
13281,694879000
13291,666442000
13301,662974000
13311,663390000
13321,679670000
13331,660721000
13341,673034000
13351,699525000
13361,670639000
13371,684437000
13381,680937000
13391,676158000
13401,672969000
13411,673942000
13421,683039000
13431,677239000
13441,671020000
13451,684871000
13461,686582000
13471,686558000
13481,684498000
13491,685460000
13501,700578000
13511,668860000
13521,704602000
13531,698196000
13541,684143000
13551,689106000
13561,713966000
13571,701117000
13581,781123000
13591,732670000
13601,699740000
13611,702150000
13621,701462000
13631,700801000
13641,698832000
13651,729239000
13661,707965000
13671,698764000
13681,717470000
13691,709491000
13701,708083000
13711,709677000
13721,731696000
13731,707017000
13741,708027000
13751,851418000
13761,864508000
13771,791662000
13781,858102000
13791,843916000
13801,768377000
13811,752044000
13821,830073000
13831,841617000
13841,719135000
13851,717889000
13861,732591000
13871,734472000
13881,731080000
13891,886332000
13901,735583000
13911,730761000
13921,717292000
13931,731742000
13941,734132000
13951,748751000
13961,722553000
13971,734671000
13981,725704000
13991,736505000
14001,729065000
14011,733835000
14021,762186000
14031,737769000
14041,744410000
14051,718238000
14061,769034000
14071,710790000
14081,731768000
14091,738043000
14101,750092000
14111,760286000
14121,747894000
14131,749215000
14141,763513000
14151,784188000
14161,770419000
14171,762392000
14181,731112000
14191,765358000
14201,783025000
14211,746695000
14221,814528000
14231,765156000
14241,761583000
14251,780142000
14261,771000000
14271,757347000
14281,766286000
14291,780964000
14301,763473000
14311,812588000
14321,769412000
14331,760110000
14341,790600000
14351,754019000
14361,827591000
14371,875396000
14381,901635000
14391,832083000
14401,825932000
14411,797356000
14421,794244000
14431,781699000
14441,805825000
14451,800638000
14461,798947000
14471,812211000
14481,795785000
14491,801270000
14501,780054000
14511,797241000
14521,854078000
14531,814996000
14541,812073000
14551,789260000
14561,803759000
14571,799189000
14581,796569000
14591,798099000
14601,811716000
14611,803592000
14621,802078000
14631,799375000
14641,860887000
14651,809210000
14661,812635000
14671,946177000
14681,910355000
14691,938066000
14701,938094000
14711,950721000
14721,877629000
14731,931382000
14741,924148000
14751,821699000
14761,873341000
14771,955883000
14781,840643000
14791,814898000
14801,847569000
14811,827046000
14821,842311000
14831,844803000
14841,827481000
14851,830384000
14861,828018000
14871,828428000
14881,844194000
14891,859094000
14901,828512000
14911,845346000
14921,843784000
14931,858622000
14941,845322000
14951,860743000
14961,846225000
14971,844994000
14981,842120000
14991,846399000
15001,861078000
15011,861294000
15021,880843000
15031,853588000
15041,860483000
15051,859155000
15061,862413000
15071,866636000
15081,851891000
15091,859176000
15101,873804000
15111,874000000
15121,862064000
15131,880452000
15141,871982000
15151,862351000
15161,861000000
15171,876218000
15181,864747000
15191,873431000
15201,937911000
15211,890879000
15221,862502000
15231,956568000
15241,891418000
15251,914955000
15261,868924000
15271,889994000
15281,891917000
15291,875485000
15301,908460000
15311,1050091000
15321,1017495000
15331,973182000
15341,984859000
15351,924877000
15361,958116000
15371,981153000
15381,873553000
15391,895180000
15401,890569000
15411,907436000
15421,892982000
15431,908460000
15441,892112000
15451,911922000
15461,920830000
15471,910064000
15481,903301000
15491,915111000
15501,888543000
15511,915002000
15521,916819000
15531,941405000
15541,909140000
15551,924621000
15561,924322000
15571,938348000
15581,909115000
15591,924667000
15601,925433000
15611,917692000
15621,915684000
15631,940985000
15641,970383000
15651,960242000
15661,926529000
15671,930679000
15681,930913000
15691,932910000
15701,938518000
15711,923409000
15721,943961000
15731,924706000
15741,924335000
15751,937470000
15761,940822000
15771,941535000
15781,940591000
15791,942786000
15801,992008000
15811,950962000
15821,952834000
15831,939370000
15841,941086000
15851,963148000
15861,955656000
15871,981126000
15881,957134000
15891,964873000
15901,943029000
15911,973421000
15921,950044000
15931,956995000
15941,973271000
15951,956999000
15961,972846000
15971,975391000
15981,955926000
15991,987132000
16001,976123000
16011,972884000
16021,965018000
16031,982243000
16041,962683000
16051,972049000
16061,972637000
16071,973523000
16081,1004322000
16091,980166000
16101,996772000
16111,990935000
16121,988066000
16131,962178000
16141,1005192000
16151,984736000
16161,1003045000
16171,982548000
16181,1002016000
16191,1002124000
16201,1002407000
16211,987133000
16221,1011469000
16231,986445000
16241,1007439000
16251,1003613000
16261,1002881000
16271,1014246000
16281,1000660000
16291,1001038000
16301,1026060000
16311,1002136000
16321,1020767000
16331,996340000
16341,1012422000
16351,1019799000
16361,1018634000
16371,1005045000
16381,1017424000
16391,1020065000
16401,1018887000
16411,1022751000
16421,1043630000
16431,1028350000
16441,1036712000
16451,1029700000
16461,1037095000
16471,1023529000
16481,1036999000
16491,1035084000
16501,1036884000
16511,1021849000
16521,1038097000
16531,1045581000
16541,1038175000
16551,1020517000
16561,1052561000
16571,1034837000
16581,1050611000
16591,1051151000
