Input_Size,Time_Taken
9391,0.003449
9401,0.003021
9411,0.003477
9421,0.002634
9431,0.00355
9441,0.003053
9451,0.003499
9461,0.003016
9471,0.003544
9481,0.003034
9491,0.002985
9501,0.003034
9511,0.003152
9521,0.002718
9531,0.00393
9541,0.003004
9551,0.002972
9561,0.004109
9571,0.003
9581,0.002992
9591,0.00413
9601,0.00354
9611,0.001978
9621,0.002551
9631,0.002982
9641,0.003897
9651,0.003607
9661,0.003418
9671,0.001997
9681,0.004083
9691,0.002999
9701,0.003009
9711,0.002905
9721,0.00302
9731,0.002548
9741,0.004074
9751,0.002985
9761,0.002998
9771,0.004087
9781,0.003
9791,0.003005
9801,0.004074
9811,0.003167
9821,0.002996
9831,0.004057
9841,0.003016
9851,0.002999
9861,0.003549
9871,0.003004
9881,0.002995
9891,0.004162
9901,0.00301
9911,0.001994
9921,0.002541
9931,0.004068
9941,0.002921
9951,0.003052
9961,0.003999
9971,0.00342
9981,0.003435
9991,0.003312
10001,0.003664
10011,0.003008
10021,0.003536
10031,0.004147
10041,0.002599
10051,0.004
10061,0.002509
10071,0.003985
10081,0.003393
10091,0.003305
10101,0.003265
10111,0.003988
10121,0.003074
10131,0.004171
10141,0.003488
10151,0.002367
10161,0.003
10171,0.003001
10181,0.003264
10191,0.003
10201,0.003819
10211,0.002517
10221,0.002021
10231,0.002526
10241,0.003083
10251,0.003471
10261,0.003748
10271,0.002291
10281,0.003222
10291,0.00362
10301,0.002997
10311,0.003529
10321,0.003553
10331,0.003016
10341,0.003024
10351,0.002938
10361,0.003418
10371,0.003509
10381,0.003318
10391,0.003004
10401,0.002505
10411,0.003049
10421,0.003002
10431,0.003035
10441,0.004032
10451,0.003989
10461,0.002971
10471,0.004164
10481,0.002296
10491,0.004662
10501,0.002981
10511,0.003774
10521,0.004104
10531,0.003
10541,0.003755
10551,0.004027
10561,0.003184
10571,0.003899
10581,0.003648
10591,0.003556
10601,0.003425
10611,0.003334
10621,0.004104
10631,0.003124
10641,0.004016
10651,0.004049
10661,0.003008
10671,0.004002
10681,0.003384
10691,0.004177
10701,0.002998
10711,0.004079
10721,0.003189
10731,0.002995
10741,0.004037
10751,0.003017
10761,0.004054
10771,0.004033
10781,0.00305
10791,0.002541
10801,0.0031
10811,0.004407
10821,0.00356
10831,0.003002
10841,0.003028
10851,0.003556
10861,0.003548
10871,0.003913
10881,0.003428
10891,0.004686
10901,0.003064
10911,0.003088
10921,0.00392
10931,0.003022
10941,0.003935
10951,0.003052
10961,0.003995
10971,0.004
10981,0.003134
10991,0.004328
11001,0.003555
11011,0.004117
11021,0.003474
11031,0.004097
11041,0.002999
11051,0.003487
11061,0.00357
11071,0.003412
11081,0.00419
11091,0.003181
11101,0.004002
11111,0.003553
11121,0.002999
11131,0.004346
11141,0.003779
11151,0.003093
11161,0.003271
11171,0.003097
11181,0.003994
11191,0.003106
11201,0.004004
11211,0.003007
11221,0.00313
11231,0.003004
11241,0.003019
11251,0.00368
11261,0.003003
11271,0.005823
11281,0.004107
11291,0.003
11301,0.003007
11311,0.004003
11321,0.003
11331,0.004013
11341,0.003
11351,0.004
11361,0.003013
11371,0.003001
11381,0.003
11391,0.003012
11401,0.004043
11411,0.003719
11421,0.003507
11431,0.003001
11441,0.003504
11451,0.003535
11461,0.003
11471,0.004017
11481,0.002999
11491,0.004083
11501,0.003125
11511,0.004632
11521,0.002002
11531,0.003352
11541,0.002997
11551,0.00361
11561,0.003359
11571,0.004043
11581,0.002546
11591,0.0033
11601,0.002998
11611,0.00368
11621,0.003288
11631,0.004007
11641,0.003273
11651,0.002899
11661,0.002979
11671,0.004065
11681,0.003004
11691,0.003717
11701,0.003703
11711,0.002991
11721,0.004003
11731,0.003316
11741,0.002997
11751,0.003597
11761,0.003508
11771,0.002998
11781,0.003602
11791,0.003282
11801,0.003989
11811,0.003971
11821,0.003023
11831,0.003995
11841,0.003695
11851,0.003992
11861,0.003002
11871,0.004285
11881,0.002994
11891,0.005668
11901,0.004008
11911,0.003602
11921,0.004166
11931,0.004093
11941,0.00372
11951,0.003079
11961,0.004883
11971,0.004939
11981,0.005032
11991,0.005613
12001,0.004789
12011,0.005
12021,0.003509
12031,0.00351
12041,0.004017
12051,0.003003
12061,0.003999
12071,0.003522
12081,0.004006
12091,0.004
12101,0.004103
12111,0.005051
12121,0.003241
12131,0.004205
12141,0.00403
12151,0.004036
12161,0.004026
12171,0.004184
12181,0.003509
12191,0.003016
12201,0.004001
12211,0.003503
12221,0.003094
12231,0.003999
12241,0.00404
12251,0.004
12261,0.00401
12271,0.00352
12281,0.003506
12291,0.003508
12301,0.004
12311,0.005018
12321,0.004
12331,0.004011
12341,0.003004
12351,0.003
12361,0.00502
12371,0.003
12381,0.004507
12391,0.003507
12401,0.003999
12411,0.004016
12421,0.003999
12431,0.003507
12441,0.005531
12451,0.005558
12461,0.005257
12471,0.005424
12481,0.004016
12491,0.005081
12501,0.003995
12511,0.004528
12521,0.003548
12531,0.003987
12541,0.005158
12551,0.004915
12561,0.005609
12571,0.007016
12581,0.005104
12591,0.004051
12601,0.004199
12611,0.003998
12621,0.003287
12631,0.002911
12641,0.002967
12651,0.004126
12661,0.004504
12671,0.003603
12681,0.004025
12691,0.004106
12701,0.003152
12711,0.004001
12721,0.003692
12731,0.003016
12741,0.004178
12751,0.004101
12761,0.003988
12771,0.003689
12781,0.004
12791,0.004178
12801,0.004105
12811,0.003984
12821,0.003702
12831,0.003986
12841,0.004206
12851,0.003089
12861,0.002992
12871,0.004376
12881,0.004001
12891,0.003292
12901,0.003002
12911,0.004094
12921,0.003268
12931,0.004003
12941,0.00443
12951,0.004031
12961,0.003061
12971,0.004201
12981,0.003997
12991,0.003188
13001,0.004094
13011,0.004002
13021,0.004506
13031,0.003986
13041,0.003198
13051,0.005004
13061,0.003098
13071,0.003288
13081,0.003961
13091,0.003626
13101,0.003003
13111,0.002999
13121,0.003268
13131,0.004008
13141,0.003768
13151,0.003011
13161,0.003001
13171,0.003196
13181,0.005999
13191,0.003005
13201,0.007305
13211,0.004087
13221,0.004002
13231,0.004636
13241,0.004041
13251,0.004302
13261,0.004007
13271,0.00399
13281,0.003478
13291,0.00308
13301,0.003309
13311,0.00399
13321,0.003597
13331,0.00369
13341,0.003994
13351,0.004662
13361,0.003953
13371,0.005213
13381,0.005038
13391,0.004003
13401,0.004004
13411,0.004
13421,0.00401
13431,0.004
13441,0.004012
13451,0.003999
13461,0.004505
13471,0.004508
13481,0.004001
13491,0.00411
13501,0.004118
13511,0.00333
13521,0.004003
13531,0.004129
13541,0.004098
13551,0.004004
13561,0.004278
13571,0.004
13581,0.003453
13591,0.004242
13601,0.005932
13611,0.006936
13621,0.004299
13631,0.003961
13641,0.003612
13651,0.004003
13661,0.002996
13671,0.00627
13681,0.003992
13691,0.003696
13701,0.003988
13711,0.004196
13721,0.004113
13731,0.003983
13741,0.004286
13751,0.003994
13761,0.003502
13771,0.004005
13781,0.004222
13791,0.004098
13801,0.003992
13811,0.005604
13821,0.006046
13831,0.004002
13841,0.004202
13851,0.003134
13861,0.004012
13871,0.003677
13881,0.004009
13891,0.003289
13901,0.004001
13911,0.004266
13921,0.00524
13931,0.004211
13941,0.004114
13951,0.003986
13961,0.003677
13971,0.004004
13981,0.004254
13991,0.004242
14001,0.004315
14011,0.004188
14021,0.004506
14031,0.004005
14041,0.004
14051,0.004016
14061,0.004
14071,0.004017
14081,0.004
14091,0.005013
14101,0.004004
14111,0.004
14121,0.005018
14131,0.003999
14141,0.003828
14151,0.004
14161,0.005076
14171,0.004998
14181,0.004259
14191,0.00476
14201,0.004576
14211,0.00367
14221,0.004003
14231,0.00359
14241,0.005008
14251,0.004175
14261,0.004083
14271,0.004594
14281,0.004093
14291,0.004581
14301,0.004708
14311,0.003995
14321,0.004261
14331,0.004724
14341,0.004715
14351,0.00407
14361,0.004209
14371,0.004512
14381,0.003019
14391,0.003535
14401,0.003979
14411,0.004378
14421,0.005
14431,0.004307
14441,0.004124
14451,0.004227
14461,0.00409
14471,0.004577
14481,0.004094
14491,0.003994
14501,0.004618
14511,0.004076
14521,0.004298
14531,0.003999
14541,0.004701
14551,0.005043
14561,0.004092
14571,0.005138
14581,0.004134
14591,0.004016
14601,0.005502
14611,0.004002
14621,0.005006
14631,0.004002
14641,0.005754
14651,0.00551
14661,0.0045
14671,0.005105
14681,0.004501
14691,0.004509
14701,0.005206
14711,0.003696
14721,0.004963
14731,0.004627
14741,0.004999
14751,0.00402
14761,0.005001
14771,0.005017
14781,0.004
14791,0.004809
14801,0.004207
14811,0.005014
14821,0.004004
14831,0.004222
14841,0.004569
14851,0.003981
14861,0.005313
14871,0.004911
14881,0.004783
14891,0.003995
14901,0.005247
14911,0.005014
14921,0.004046
14931,0.005241
14941,0.004691
14951,0.004004
14961,0.005194
14971,0.004003
14981,0.004
14991,0.004503
15001,0.004
15011,0.004006
15021,0.005
